axis_name,axis_value,baseline_ari,dataset_iteration,true_k,metric_name,k,metric_value,is_optimal,is_correct,metric_ari
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,2,0.8631937871029776,True,False,0.7079219372040079
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,3,0.7151913641959712,False,True,0.7737915278576049
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,4,0.6082649090752604,False,False,0.788998812926545
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,5,0.5551102681816371,False,False,0.8182390693196503
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,6,0.5252897289431278,False,False,0.7578082752346345
n_total,100,0.9537039635018884,0,3,accuracy_generalizability,7,0.5117037857594663,False,False,0.558087162471456
n_total,100,0.9537039635018884,0,3,ari_generalizability,2,0.5324070417698892,True,False,0.7079219372040079
n_total,100,0.9537039635018884,0,3,ari_generalizability,3,0.45270342017722726,False,True,0.7737915278576049
n_total,100,0.9537039635018884,0,3,ari_generalizability,4,0.3037801945636546,False,False,0.788998812926545
n_total,100,0.9537039635018884,0,3,ari_generalizability,5,0.25325397142583544,False,False,0.8182390693196503
n_total,100,0.9537039635018884,0,3,ari_generalizability,6,0.22087219873872993,False,False,0.7578082752346345
n_total,100,0.9537039635018884,0,3,ari_generalizability,7,0.19119820370377638,False,False,0.558087162471456
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,2,0.5324070417698892,True,False,0.7079219372040079
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,3,0.45270342017722726,False,True,0.7737915278576049
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,4,0.3037801945636546,False,False,0.788998812926545
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,5,0.25325397142583544,False,False,0.8182390693196503
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,6,0.22087219873872993,False,False,0.7578082752346345
n_total,100,0.9537039635018884,0,3,ari_generalizability_1se,7,0.19119820370377638,False,False,0.558087162471456
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,2,0.5324070417698892,False,False,0.7079219372040079
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,3,0.45270342017722726,False,True,0.7737915278576049
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,4,0.3037801945636546,False,False,0.788998812926545
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,5,0.25325397142583544,False,False,0.8182390693196503
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,6,0.22087219873872993,False,False,0.7578082752346345
n_total,100,0.9537039635018884,0,3,ari_generalizability_quant,7,0.19119820370377638,True,False,0.558087162471456
n_total,100,0.9537039635018884,0,3,ari_stability,2,0.9743692430017777,True,False,0.7838273317145641
n_total,100,0.9537039635018884,0,3,ari_stability,3,0.6937028996002895,False,True,0.9537039635018884
n_total,100,0.9537039635018884,0,3,ari_stability,4,0.5133115845955348,False,False,0.9415784042446014
n_total,100,0.9537039635018884,0,3,ari_stability,5,0.42341129315157067,False,False,0.6913762754812649
n_total,100,0.9537039635018884,0,3,ari_stability,6,0.3879053777638003,False,False,0.6659762367761201
n_total,100,0.9537039635018884,0,3,ari_stability,7,0.36060884175770674,False,False,0.5245259810862121
n_total,100,0.9537039635018884,0,3,ari_stability_1se,2,0.9743692430017777,True,False,0.7838273317145641
n_total,100,0.9537039635018884,0,3,ari_stability_1se,3,0.6937028996002895,False,True,0.9537039635018884
n_total,100,0.9537039635018884,0,3,ari_stability_1se,4,0.5133115845955348,False,False,0.9415784042446014
n_total,100,0.9537039635018884,0,3,ari_stability_1se,5,0.42341129315157067,False,False,0.6913762754812649
n_total,100,0.9537039635018884,0,3,ari_stability_1se,6,0.3879053777638003,False,False,0.6659762367761201
n_total,100,0.9537039635018884,0,3,ari_stability_1se,7,0.36060884175770674,False,False,0.5245259810862121
n_total,100,0.9537039635018884,0,3,ari_stability_quant,2,0.9743692430017777,True,False,0.7838273317145641
n_total,100,0.9537039635018884,0,3,ari_stability_quant,3,0.6937028996002895,False,True,0.9537039635018884
n_total,100,0.9537039635018884,0,3,ari_stability_quant,4,0.5133115845955348,False,False,0.9415784042446014
n_total,100,0.9537039635018884,0,3,ari_stability_quant,5,0.42341129315157067,False,False,0.6913762754812649
n_total,100,0.9537039635018884,0,3,ari_stability_quant,6,0.3879053777638003,False,False,0.6659762367761201
n_total,100,0.9537039635018884,0,3,ari_stability_quant,7,0.36060884175770674,False,False,0.5245259810862121
n_total,100,0.9537039635018884,0,3,consensus_ce_stability,2,0.9633714946959476,True,False,0.7838273317145641
